rep_1,rep_2
0.81783,1.0126
0.90169,0.89445
0.91474,0.66394
0.86426,1.0229
0.78191,1.0321
0.97925,1.1043
0.98862,1.0071
1.0316,1.0516
0.92235,0.90104
0.91481,1.0198
0.87318,0.92534
1.3875,1.017
1.0305,1.2625
0.99911,0.91552
1.0323,0.94733
0.48186,0.45297
0.91667,0.84351
0.95294,1.1816
1.4823,1.1426
1.0141,0.8539
1.365,1.166
1.0171,1.1452
0.94616,0.91805
0.96329,0.90483
1.2217,1.0443
1.0243,1.0323
0.99704,0.98912
1.0971,1.0517
0.98941,0.94909
0.13476,0.1442
1.0587,1.1126
0.85247,0.99041
0.99468,1.0481
0.8474,1.0207
1.0162,1.1756
0.93788,0.91181
1.0184,0.95341
0.52857,0.57943
0.6182,0.55515
1.0479,0.96983
1.1966,0.93565
1.0346,0.94753
1.2801,0.95257
1.6446,0.92293
0.88143,0.94292
1.1792,1.1817
0.14734,0.16633
0.87687,1.1183
0.97413,1.0685
0.83368,0.80943
1.0241,1.1106
0.98126,1.0336
0.81187,1.2042
0.96946,1.03
1.0264,0.91649
0.86207,0.9538
1.0511,1.0084
1.1352,1.4456
1.6672,1.0129
0.96626,0.8896
1.1939,1.1899
0.90601,1.0234
1.113,0.94887
0.97725,1.0117
0.87255,1.0663
1.0777,1.1965
0.97729,0.84992
0.82809,1.103
0.94425,1.0946
1.0134,0.88471
1.1907,1.128
1.1213,0.97663
0.98998,1.1115
1.0236,1.2019
1.296,1.0176
0.89458,1.0437
0.87486,0.90126
0.92816,0.89934
1.066,1.07
0.78992,0.98681
0.95498,0.83446
1.2015,1.0274
0.90839,0.91711
0.96164,0.87954
0.1511,0.17398
0.97478,0.94951
0.92773,0.95138
0.8697,0.99543
0.96521,0.8898
0.9524,1.1187
0.95925,0.99804
0.99574,0.88395
1.1083,0.96096
0.13583,0.14799
0.91747,0.91784
0.93565,0.9808
1.0585,1.0658
1.1386,0.88735
0.9363,1.0037
0.15131,0.15305
1.1154,1.1137
1.2623,1.1181
1.0058,0.92842
0.95892,1.1335
0.98963,0.97189
0.98394,1.0804
1.0096,1.0128
0.9341,1.1716
0.77256,0.65843
1.106,0.96032
0.86439,0.89231
0.95146,0.83286
1.0202,1.0556
1.0369,1.3623
1.1173,0.89697
1.1556,1.1141
1.0914,1.0587
0.15563,0.16959
1.083,1.2723
1.0975,1.1136
1.0306,1.1277
0.95311,0.97555
0.13798,0.1531
1.111,1.2557
0.13991,0.15111
0.15175,0.15845
0.90889,0.89955
0.97718,1.4644
0.99694,1.1293
1.2966,1.2865
0.89111,1.0997
1.2681,0.9017
0.18758,0.19429
0.76777,1.0034
0.9012,0.85999
0.99227,1.0709
1.0962,0.91893
0.99349,0.97375
1.1468,0.91068
1.0296,1.0463
0.93194,0.96343
1.0935,1.1231
1.2477,1.4391
1.1012,0.96776
0.91514,0.89895
0.93625,1.3047
1.0584,0.81433
0.36223,0.41005
0.96058,1.0231
1.1003,1.0183
0.12296,0.15963
0.82449,0.77971
1.1163,0.85491
0.8929,0.9458
1.0113,1.0176
1.0136,0.8791
1.5605,1.5424
0.96389,1.1212
1.0925,0.83138
1.2125,1.3241
0.93379,1.0317
0.91726,1.0303
0.95974,1.0506
0.83514,0.95326
1.0986,0.875
1.0318,0.97101
1.0195,0.99774
0.59373,0.6613
0.96146,0.93853
1.3467,1.2398
0.93117,1.1014
0.85392,1.0671
0.98571,0.88727
0.87875,0.91989
1.0046,1.1681
1.201,1.2574
1.0575,1.1313
0.86398,0.96181
0.73057,0.88246
1.1365,1.1243
1.0074,0.90616
1.3054,1.4315
1.1861,0.83398
1.1196,1.0318
0.13751,0.16536
1.0751,0.98783
0.78155,1.0076
1.0668,1.2839
0.89483,0.7545
1.0659,1.1998
1.0611,0.97181
1.0143,0.80955
1.1568,1.2478
1.0954,0.98558
0.92139,0.95507
1.4929,1.0256
1.1025,1.4731
0.81651,0.99949
0.96978,0.9185
0.79772,0.71244
1.1281,0.98006
0.94974,0.91957
1.1968,0.89427
0.94989,1.1525
0.93195,0.95749
0.911,0.96468
0.46436,0.51408
0.98151,0.90901
0.94316,0.92324
1.2512,1.3321
0.7917,0.88718
0.89041,1.1534
1.3206,0.96683
1.0195,0.92252
0.85452,0.86361
1.0112,0.92538
1.1486,1.641
0.94509,0.9508
0.77012,0.93
1.3419,1.7978
1.2957,1.0021
1.5542,1.6947
0.94649,0.72144
0.8119,1.1053
0.12618,0.16742
1.1009,0.97057
0.98647,0.96732
0.91418,0.9544
1.1469,1.0848
0.98015,1.0533
0.73081,1.0336
1.1412,1.0831
0.91239,0.97928
0.92058,0.95955
0.8624,0.78745
0.82595,0.15045
1.2866,1.2646
1.176,1.3358
0.87682,0.9259
0.97012,1.464
1.0322,0.8986
0.85464,0.91133
0.90876,0.9788
1.0886,0.98048
0.98315,0.95832
1.0318,0.94804
0.96193,1.224
0.93058,0.89123
0.99005,1.2363
0.93864,0.92101
1.005,0.88679
0.89671,0.8208
0.89419,0.82038
1.2963,1.1384
0.95295,0.96377
1.0557,1.0625
1.015,1.1245
0.95975,0.98857
1.0972,0.69208
0.23852,0.22286
1.0577,0.94067
0.96305,0.90153
1.1781,1.0718
0.96976,1.0945
0.10519,0.13899
0.90807,0.87487
0.16503,0.16747
1.0716,1.0562
0.8512,1.0333
1.1276,0.95377
0.86559,0.85904
1.4153,1.1624
0.90651,1.0198
1.1474,1.1609
0.95994,0.99003
0.82516,0.96538
1.1432,0.95211
0.87317,0.85255
1.0104,1.0518
0.96396,0.99384
1.0781,1.0414
0.90439,1.0136
1.1802,0.97645
0.98438,1.027
1.0229,0.85188
0.92696,0.85516
0.98631,1.1446
1.0645,1.0832
0.90611,0.85786
0.94098,0.95196
0.89642,0.92324
0.95291,0.87198
0.97228,0.89994
0.87276,0.94803
0.74844,0.9107
1.3409,1.0665
1.1516,1.1478
0.86499,1.1571
1.0994,1.0418
0.85535,0.99884
1.1307,1.167
0.87183,0.91101
1.1064,1.2133
1.0656,1.4297
0.3002,0.33029
0.14455,0.16232
0.83716,0.86419
0.84874,0.74492
0.90829,0.88804
1.1418,1.0298
0.9596,1.0115
0.85065,0.92138
1.0607,1.23
1.0574,1.0389
0.96824,0.96569
0.84804,0.89159
0.99505,1.1254
0.92487,0.90371
5.2728,5.7469
0.88289,0.833
0.72801,0.75612
1.005,0.84136
0.96046,1.121
1.0573,1.0536
0.99984,0.93948
1.1998,1.2609
1.3314,1.2621
1.0628,1.052
0.89666,0.95597
0.78585,0.89167
1.2125,0.94003
1.1455,1.278
1.0042,0.97632
0.90993,0.97365
1.1644,1.1177
1.1216,1.0285
0.93848,1.0974
0.75753,0.79536
0.93158,1.0076
0.91112,0.94302
1.4103,1.4635
1.1568,1.1877
1.1721,0.87185
1.1292,1.13
0.887,1.0154
0.96338,0.98088
0.95408,1.0895
0.91168,1.0521
1.115,1.1458
1.1125,0.96967
1.3571,0.85324
0.80485,1.0209
0.92099,0.86733
1.1501,0.86132
0.90791,0.93839
1.2435,1.3137
0.96985,0.86888
0.49301,0.44473
1.0287,0.95938
0.9561,0.85269
1.2705,1.3344
1.1334,1.1131
1.0057,0.88468
1.2156,0.96687
0.7396,1.1091
1.0658,0.92833
1.2461,1.0133
0.83876,0.9157
0.96661,1.04
0.96614,0.80211
1.1964,0.99871
0.13701,0.14592
1.093,1.1187
1.0486,0.99966
0.92333,0.98545
0.81351,0.96721
0.82593,0.87667
1.3375,1.1257
0.89775,1.0402
0.55415,0.64252
0.98102,0.8921
1.0984,1.1181
1.1604,1.0311
0.99955,1.3006
1.1754,1.1208
0.79935,1.1387
0.13172,0.15636
0.6553,0.95399
0.78084,0.75648
1.1036,1.1093
1.028,0.93661
1.4177,1.0229
0.95018,0.90747
1.0462,0.80714
0.14715,0.15953
0.83922,0.85121
1.0173,1.0007
0.97597,1.0297
0.70119,0.80324
0.61455,0.76147
1.0151,0.97783
0.88781,1.0001
0.13109,0.15674
1.0421,0.94111
1.0012,1.2805
1.1886,1.1245
0.74103,1.0162
1.2601,1.2152
0.95834,0.98581
0.46975,0.60056
1.0134,1.0021
1.1409,0.97749
0.97868,1.1034
1.31,1.3202
0.97586,0.98293
1.2743,1.2423
0.84385,1.01
1.2735,0.99076
0.70899,1.0734
1.1525,0.98214
0.85814,0.79439
0.82559,1.069
0.99907,0.92624
0.91229,1.1086
0.92318,0.9135
0.84851,0.85036
1.1319,1.2763
0.98021,1.1498
0.905,0.75235
0.97227,0.95727
0.13697,0.15745
1.0467,0.98388
0.96865,0.96417
1.0662,0.83267
1.1909,0.98166
1.0243,0.89895
1.0747,1.1357
1.1071,1.4353
1.2734,1.2565
0.84834,1.0008
1.0238,0.94581
1.0044,1.1636
1.0731,0.97729
0.90357,0.85384
1.1617,0.90184
0.87288,1.098
1.6695,1.1491
0.89342,0.90562
1.1243,1.117
1.1283,1.1251
1.1938,0.89842
0.99015,1.1067
1.1359,0.96351
1.0636,1.0375
0.83182,0.83871
1.1744,1.081
1.0925,0.92724
1.1561,0.64235
1.008,1.0312
0.57069,0.55184
0.94689,1.0942
0.96121,0.91387
1.3556,1.069
1.51,1.0619
1.034,0.98309
0.80744,0.98177
1.0122,0.90884
0.91052,0.94332
1.0436,1.1369
1.1241,1.2284
0.95413,1.0257
1.1203,1.4232
0.97571,0.9879
0.90396,0.89292
0.1309,0.14281
1.0425,0.91593
1.1594,1.1438
0.83493,0.99536
1.119,1.2196
1.3026,1.1864
0.81627,0.92002
0.141,0.15636
1.0963,1.0455
0.82594,0.9779
0.93378,1.106
1.0812,0.88972
1.2699,1.4134
1.009,0.91594
1.3236,1.1829
1.1498,0.94684
1.0908,0.9697
1.0138,0.92813
1.2404,1.0502
0.62844,0.61807
0.13817,0.16284
0.86639,0.78232
1.1647,1.2829
1.3016,0.98609
0.90625,0.98604
0.75816,1.2235
1.2896,1.4975
0.91704,0.91145
1.1005,1.0921
1.2649,0.99155
0.94619,0.92369
0.93424,0.98834
1.2506,0.90759
0.96349,0.8881
1.0639,1.0028
1.0828,1.24
0.9905,1.1336
1.1164,1.1681
1.1921,1.307
0.97367,0.97685
1.009,1.1344
0.96087,1.1643
1.1918,1.2162
1.0423,1.0791
1.0038,1.0849
1.0216,1.0107
1.1531,1.2264
0.7231,1.0078
1.1006,0.96467
1.3476,1.2731
0.90254,0.96976
0.93811,1.1551
1.0636,1.3986
1.0292,0.8661
1.2537,1.4852
1.031,0.94174
1.1385,1.1185
0.91398,0.88386
0.1529,0.18145
1.0325,1.0448
0.95978,0.99888
1.1277,0.91618
1.0375,0.84165
0.83726,0.95884
0.84526,0.96949
1.0355,1.0662
0.79222,0.90483
1.0211,0.96353
0.97499,0.95398
0.90375,0.89465
0.93041,0.68296
0.94413,0.97084
1.0462,1.0265
0.88099,1.097
0.81414,0.86405
1.2643,1.2031
0.83219,0.97446
1.112,1.0444
1.1427,1.0488
0.91213,1.0833
0.83388,0.83492
0.75562,0.8963
0.91756,1.2728
1.048,1.3181
0.94519,1.0397
0.90375,1.0936
0.88794,1.0427
1.1455,0.88544
0.98081,1.0486
0.14559,0.14965
1.2419,1.4297
1.2595,1.5214
0.91061,0.93161
1.0457,1.0659
1.1763,0.98846
0.95994,0.88326
1.0595,1.1209
1.1717,1.4101
0.75677,1.0905
0.92967,1.0572
0.87903,0.85992
1.1728,1.1237
0.8791,0.82761
0.94567,1.0978
1.2677,1.0621
1.0843,0.92344
0.88349,1.0004
1.0357,0.91375
1.0229,0.91549
0.95583,1.1148
0.99255,1.0338
0.53562,0.46415
0.93493,1.0157
0.96327,1.1193
1.1306,1.0049
1.1072,1.0635
0.9571,1.0875
0.89248,0.91718
1.0997,0.96422
0.95694,0.87723
0.15577,0.17726
1.081,1.3313
0.86245,0.89905
1.1544,1.2787
0.80222,0.85647
1.0729,0.98675
1.0514,1.0141
0.80842,0.82763
1.0105,0.96583
1.0002,1.3809
0.90207,0.95756
1.068,0.8995
1.1509,1.2744
0.80734,0.94768
0.95336,0.89865
1.1662,1.1775
0.99737,1.1206
0.8443,1.0087
1.2328,1.0375
1.2382,1.1278
1.0991,0.86598
0.90387,0.89608
0.14751,0.29912
0.16911,0.17265
0.81484,0.7246
0.12975,0.15603
0.89131,0.90448
0.85499,1.0842
0.34863,0.29441
0.96109,0.9242
0.9641,1.1229
1.117,1.0489
0.86811,0.93548
1.0976,1.1602
1.256,1.2474
1.1065,1.1195
0.98745,0.95202
0.99259,0.99591
0.97578,0.97047
1.288,1.2795
0.83322,1.0031
1.1102,0.90144
0.87379,1.0517
0.97972,0.96249
0.88165,1.1935
1.0023,1.0309
0.96242,1.1091
1.0103,0.98392
0.8723,0.83607
0.75566,0.70921
0.9848,1.0924
0.9632,1.1955
0.98896,1.0954
1.0859,0.92825
0.9981,1.0504
1.2361,0.97632
1.1005,1.0388
0.87001,0.95419
0.94805,0.74061
1.2489,1.2327
1.4687,1.713
0.99919,0.91871
0.95645,0.87036
1.2314,0.92681
0.9489,1.0413
1.0407,1.0394
0.46801,0.59854
1.0384,0.9496
1.0561,1.0963
0.82049,0.8371
0.97926,0.97997
0.95484,1.0715
1.1221,1.1291
1.1512,0.73743
1.0726,1.2258
1.0028,1.183
1.1338,0.96418
0.90431,1.1742
1.003,1.0473
1.3079,1.2832
0.83985,0.85045
1.0784,1.0267
1.0181,0.80155
1.1155,1.2218
0.94803,0.90987
1.0709,1.012
0.90456,1.0967
1.204,1.2605
1.0378,1.0662
0.9961,0.91537
0.42874,0.56028
0.93715,0.90604
0.96096,1.085
0.13986,0.15893
0.90019,0.98082
1.0305,1.1317
0.86334,0.88794
1.1188,0.97047
0.94308,0.95301
1.0846,1.0846
1.1804,1.0422
1.2099,1.1064
0.84843,0.76502
1.4653,1.3663
1.0717,1.0743
1.0813,1.0642
0.99352,1.0787
0.80161,1.0035
0.99748,0.87116
0.98301,1.2047
1.0753,1.0662
1.9155,1.9973
0.90361,0.94187
0.14373,0.17253
1.0961,1.1934
1.2268,1.1625
1.0873,1.087
0.79548,0.81325
1.0415,1.1245
1.0384,1.0225
0.84145,0.97122
0.16489,0.18589
0.97605,0.95942
1.0628,1.035
1.1777,1.0713
1.0194,0.97128
1.0936,1.0231
1.3019,1.4885
1.0882,1.1943
1.3538,1.1568
0.1418,0.15796
1.084,1.2372
0.86577,1.0667
1.027,1.2942
0.98892,1.0169
0.59723,0.42907
1.0023,1.0746
1.0448,0.89457
0.77448,0.88627
1.0147,1.0733
0.74995,0.85134
0.9414,1.2787
1.0209,1.2244
1.4741,0.94529
1.0686,1.0145
1.3096,1.0391
1.0147,1.1041
1.1668,1.1393
1.1415,1.0156
1.4172,0.81722
0.89398,1.0488
0.50695,0.62148
0.90406,0.87297
0.81941,1.013
1.016,0.72268
0.99035,1.0883
0.83619,1.0038
0.13999,0.1647
1.2864,1.0358
0.8861,1.0014
0.14815,0.16391
0.87478,0.97626
0.13947,0.16566
1.1525,0.85106
0.86604,0.94053
1.0291,0.93757
1.4673,1.3515
0.89366,0.91684
0.96389,0.74863
0.97423,0.88476
0.86833,1.0548
1.2948,0.97457
1.0896,0.75862
1.1956,1.0174
0.93593,1.0063
0.91486,0.95448
1.3707,1.0551
0.94585,0.87072
1.0873,1.0536
1.2862,1.1568
0.56885,1.0206
0.98299,0.96546
1.065,1.0589
0.88045,0.84663
0.94364,0.87655
1.2814,1.17
1.0142,1.1632
0.89922,1.3141
0.15486,0.16566
0.97519,0.88603
1.0391,0.88492
0.90571,0.90715
1.0382,1.135
1.0267,1.0537
1.0997,1.1454
0.50499,0.4946
1.0123,0.95408
0.13069,0.14054
0.14853,0.16553
1.1145,1.4634
0.91057,0.92062
1.3265,1.3727
0.88089,1.0579
1.09,1.0239
1.087,1.1995
0.92926,1.1126
1.0888,1.3172
1.0201,1.1699
0.95417,1.06
0.78992,0.87867
1.1684,1.0083
1.2087,0.98803
0.82673,0.62546
1.0077,1.0322
0.95869,1.0184
1.051,1.1732
0.57826,0.94238
1.2914,1.3979
0.9555,0.96065
1.0846,1.1355
1.0964,1.0761
0.13331,0.15598
1.026,1.2926
0.92323,0.99367
1.0227,1.2716
0.14144,0.16943
0.72079,0.75586
0.79234,1.0127
1.001,1.0061
0.1496,0.1683
0.99119,1.0616
1.1168,1.0428
1.2214,1.3211
1.0869,1.1757
1.0891,0.98863
0.21999,0.29918
0.96052,1.0598
0.89734,0.97989
1.0034,0.91002
1.3818,0.89199
0.15879,0.1803
0.93846,0.96503
1.3465,1.1725
1.1324,0.95698
1.1303,1.0876
0.86632,0.85453
1.2839,1.0517
1.4268,1.3968
1.6935,1.7473
1.0906,1.0605
1.156,1.0504
1.0734,1.2804
1.0049,1.02
0.88779,1.0405
0.96766,0.95013
0.96101,0.89901
0.35924,0.35747
0.89096,1.0678
0.73091,0.84684
1.2022,0.96772
0.9288,1.2304
0.82066,0.97696
1.2071,0.92165
1.0123,0.98144
0.98444,1.0013
0.96496,0.97908
0.87125,0.99879
1.2315,1.1036
0.8604,0.83238
0.14709,0.16231
0.98982,0.89906
1.1695,0.98867
1.0356,1.0249
1.0003,0.97431
0.90359,0.83581
0.95537,1.0832
1.0525,1.1576
0.97072,1.0794
0.97325,0.74138
0.6506,0.55934
1.0553,1.1627
0.80981,0.90664
0.92872,0.92196
0.90895,0.95973
1.0082,1.1073
2.548,2.3715
0.87729,0.94513
1.2382,1.1912
0.75927,0.72192
0.93537,0.9002
0.98664,0.88085
0.85071,1.0668
0.9707,0.98872
0.88023,0.85547
1.1004,1.1279
1.0472,0.99967
1.1133,1.1706
1.1021,1.0965
1.1496,1.4292
1.1604,0.92544
1.1953,1.2281
1.2311,0.93384
0.93836,0.95339
1.124,1.0127
0.88369,0.93206
1.3522,0.96611
0.90629,0.89031
1.0736,1.066
0.89832,0.95548
1.0296,0.92862
1.0774,1.125
0.69035,0.97456
0.90173,0.96987
0.88253,0.92572
1.2906,0.9757
1.1265,1.0053
1.0936,1.1252
0.88508,0.88515
1.1322,0.91863
0.94743,1.1913
0.92109,1.0015
0.14411,0.16011
1.018,1.4694
0.12177,0.14595
0.73845,0.80639
0.90672,0.86224
0.91553,0.86388
1.0174,0.98398
0.83126,0.75934
1.0425,0.91751
1.0876,0.88839
0.80787,0.85708
1.0857,1.217
1.6151,1.0608
0.90382,0.96503
0.89239,0.99966
0.95102,1.0256
1.1058,1.1685
0.94989,0.96007
1.0654,0.90901
0.98085,0.97071
0.85008,0.81083
1.1836,1.2509
0.85405,0.94339
0.83213,0.98655
0.98833,1.1647
1.0248,1.0053
1.0848,0.9532
1.2116,1.2366
1.3353,1.0785
0.9445,1.1549
0.89054,0.86527
1.132,1.1188
1.044,1.126
1.1081,0.9994
0.82506,0.91021
0.93509,1.1364
0.2475,0.43796
0.9651,0.8876
0.92808,0.90514
1.1645,0.86172
1.2056,1.0974
1.0516,0.91303
1.2561,0.94851
0.93604,0.99867
0.16693,0.17793
1.2355,1.3439
0.9609,0.88774
0.90801,0.97156
1.1732,1.1162
0.71714,0.69101
0.98759,0.90643
0.97601,0.83289
0.92802,1.0355
1.4992,1.2351
1.1404,1.052
1.1179,1.0791
1.0846,1.1696
1.1159,1.1072
1.2509,1.0769
1.0058,0.96123
1.0479,1.0865
1.1227,1.2038
1.0764,0.80991
0.11894,0.13417
1.1558,0.92557
1.0314,1.0587
0.9453,0.95326
0.23046,0.25478
1.0582,0.91874
0.99672,1.0352
1.0796,0.98279
0.65548,0.69362
0.84379,0.92657
1.1617,1.0241
1.2969,0.96967
1.0922,0.93061
1.1516,1.1703
0.78899,0.87476
0.87162,0.90011
1.403,0.94778
1.2745,1.143
0.87772,0.86414
1.0288,1.3607
1.0132,1.1991
0.99336,1.2236
0.84605,1.0282
0.16169,0.16451
1.1954,1.1797
1.1396,1.0248
1.0659,0.92765
0.9961,0.98333
0.84243,0.87151
1.0802,0.85459
1.1425,0.92413
1.1321,1.0701
0.80613,0.948
1.0312,0.93603
0.75648,1.0373
0.51973,0.63852
1.0475,0.86885
0.70377,0.78791
1.0852,1.1948
1.107,1.0866
0.88701,0.90864
1.0969,0.98038
0.98619,1.0325
0.90105,1.0265
1.0902,0.84661
0.17072,0.17179
0.97867,1.036
0.89492,0.81008
0.94885,0.99337
1.1849,1.0547
1.1605,0.95501
0.88928,1.0459
1.0727,0.99596
0.98492,0.8612
0.8319,1.1012
0.90547,1.0508
0.73833,0.67163
0.92757,1.2307
0.83558,0.89491
1.0575,0.89642
1.0709,1.0658
1.022,1.1271
0.66537,0.86573
1.06,1.1468
1.0392,1.0845
1.0513,0.93353
0.93905,1.1315
1.2001,0.98672
0.94384,0.93567
0.60305,0.74588
0.94158,0.94088
1.1734,1.0647
0.92878,1.012
0.13854,0.16755
0.84766,0.94457
0.99216,1.0124
1.0997,0.96753
0.88214,0.83519
0.76603,0.68305
1.0304,1.0451
1.0418,1.4036
1.1857,0.89579
0.9806,0.99368
1.0445,0.94183
1.0392,0.85893
1.1355,1.112
0.95291,0.9221
0.92815,0.88898
1.0919,0.79776
1.0469,1.2381
0.74191,0.82409
0.96224,1.0102
1.1718,1.1884
0.14906,0.17127
1.0078,0.90143
1.0856,1.1358
0.98459,1.0301
0.63214,0.90759
1.0068,0.94246
1.2071,0.99519
0.83097,1.1191
1.186,1.141
0.96636,0.76435
1.0951,1.0129
0.91017,1.0026
0.85532,0.89167
0.90018,0.92742
0.99378,0.93638
0.75494,0.81303
0.8055,1.004
1.2159,1.007
1.1443,1.1469
1.1462,1.1658
0.99008,1.012
1.1031,0.98376
0.87876,0.85799
0.17555,0.19496
0.98261,0.8505
1.1509,1.0299
0.91798,1.1263
0.86167,0.94513
0.14956,0.17566
1.3496,1.3719
0.97103,1.3194
0.84624,0.94268
0.93087,0.93977
0.1561,0.16652
1.3929,0.96159
1.3517,1.082
0.93118,0.98309
1.1651,1.3885
0.85127,0.76106
0.78249,0.96934
1.0015,0.90749
0.82582,0.95292
1.0923,0.84902
1.0477,1.0681
1.0566,0.98017
1.0916,1.0803
1.1669,1.059
0.94974,0.94239
0.88329,1.2307
0.74963,0.83988
1.0078,0.9232
0.13811,0.14952
0.96616,1.1346
0.86097,0.8842
0.99601,0.91898
1.3702,1.6257
1.4044,1.0636
0.95443,1.2242
1.1853,1.0088
1.0767,1.0343
0.9211,1.3642
0.93577,1.0031
0.90842,0.91016
1.0834,0.80644
0.95456,0.90132
0.96947,0.79908
0.87768,0.94288
0.85271,0.88738
0.92958,0.89049
1.0276,0.90865
1.0402,1.1096
1.0404,1.0265
0.80799,1.122
0.94697,1.1187
0.96482,0.92225
1.0316,1.0598
1.2745,1.0187
1.1671,1.5453
0.98123,1.0152
1.1038,0.97657
1.0086,1.0014
0.93101,0.91727
1.0405,0.96089
0.90113,0.92005
1.3208,1.1853
0.99775,0.86355
1.0615,1.289
0.88041,0.96897
0.83901,0.93683
0.89702,0.93679
1.1681,1.33
1.1973,1.1052
1.0154,1.0621
1.0522,1.3188
0.97256,0.89312
1.355,1.532
1.0762,1.0939
1.3385,1.3686
1.0358,0.89836
0.87758,1.1109
1.1701,1.0688
1.0455,0.97744
1.0145,0.78811
0.67637,0.42646
0.838,0.81866
0.92064,0.96089
0.12654,0.15689
1.2978,1.1427
1.0999,1.0256
0.25075,0.3308
0.91816,1.0152
1.3402,1.1743
